Exhibition Title,Start Date,Start Year,End Date,Street Address
Signatures: Bookworks by Women,04-07-1989,1989,06-03-1989,"626 Broadway, New York, NY 10012"
Book Arts in the USA,04-07-1990,1990,05-12-1990,"626 Broadway, New York, NY 10012"
Gérard Charrière Unique Books and Reliures D'Art,01-12-1990,1990,03-17-1990,"626 Broadway, New York, NY 10012"
Human Rights and a Woman's Life,11-19-1990,1990,12-07-1990,"626 Broadway, New York, NY 10012"
Selections: Lower East Side Print Shop,09-21-1990,1990,11-17-1990,"626 Broadway, New York, NY 10012"
"Spin 1/2: Books, Paintings and Memorabilia by John Eric Broaddus",06-07-1990,1990,08-31-1990,"626 Broadway, New York, NY 10012"
1991 Spring/Summer Faculty Show,01-03-1991,1991,01-26-1991,NA
Artists' Books From A to B: Contemporary Artists' Books,09-05-1991,1991,09-26-1991,"195 Broadway, New York, NY 10007"
Dieu Donné Papermill: 15 Years,02-01-1991,1991,03-09-1991,"626 Broadway, New York, NY 10012"
Economy of Space,03-23-1991,1991,05-04-1991,NA
Letters/Lines/Images,05-15-1991,1991,06-29-1991,"626 Broadway, New York, NY 10012"
Livres d'Artistes of Collectif Génération,11-05-1991,1991,11-15-1991,"972 5th Ave, New York, NY 10075"
Livres d'Artistes of Collectif Génération,10-18-1991,1991,11-30-1991,"626 Broadway, New York, NY 10012"
War & Peace,07-10-1991,1991,09-14-1991,NA
Western Bookbinding 1491-1929,03-04-1991,1991,03-29-1991,NA
Father Louie: Photographs of Thomas Merton,03-06-1992,1992,03-28-1992,NA
Guiding Hands,01-17-1992,1992,02-28-1992,"626 Broadway, New York, NY 10012"
Joni Mabe: Books and Her Traveling Tribute to Legends of Live Country Music,04-03-1992,1992,05-30-1992,"626 Broadway, New York, NY 10012"
Love and Romance,08-01-1992,1992,08-01-1992,NA
"Susan Joy Share: Books, Props, Collages",10-24-1992,1992,12-05-1992,"626 Broadway, New York, NY 10012"
AGRIPPA: (a book of the dead),04-24-1993,1993,06-19-1993,"626 Broadway, New York, NY 10012"
Cultural Autobiography 1993,09-01-1993,1993,09-17-1993,"195 Broadway, New York, NY 10007"
Hedi Kyle & Her Influence: 1977-1993,10-01-1993,1993,11-27-1993,"626 Broadway, New York, NY 10012"
Ten Small Books,01-14-1993,1993,03-27-1993,"626 Broadway, New York, NY 10012"
The Seven Deadly Sins,07-08-1993,1993,09-18-1993,"626 Broadway, New York, NY 10012"
Cultural Autobiography 1994,09-16-1994,1994,10-15-1994,"626 Broadway, New York, NY 10012"
Inky Fingers: Works by Small & Fine Presses,04-08-1994,1994,06-17-1994,"626 Broadway, New York, NY 10012"
Masters of the Craft,01-14-1994,1994,03-25-1994,"626 Broadway, New York, NY 10012"
Soviet and Subversive: Books from Russia,10-28-1994,1994,12-15-1994,"626 Broadway, New York, NY 10012"
The Anthropomorphic Book,07-02-1994,1994,09-10-1994,"626 Broadway, New York, NY 10012"
The Works of Edition Balance,09-16-1994,1994,10-15-1994,"626 Broadway, New York, NY 10012"
Cultural Autobiography 1995,09-22-1995,1995,12-06-1995,"626 Broadway, New York, NY 10012"
Latin American Book Arts,01-13-1995,1995,03-25-1995,"626 Broadway, New York, NY 10012"
Pillars of the Clean Order,03-28-1995,1995,04-04-1995,"626 Broadway, New York, NY 10012"
The Illustrated Book,09-22-1995,1995,12-06-1995,"626 Broadway, New York, NY 10012"
The International Library,04-07-1995,1995,06-17-1995,"626 Broadway, New York, NY 10012"
This Day in History...,06-30-1995,1995,09-13-1995,"626 Broadway, New York, NY 10012"
Geometry & New Math,01-30-1996,1996,03-30-1996,"626 Broadway, New York, NY 10012"
Grimm & Grimmer,04-12-1996,1996,06-15-1996,"626 Broadway, New York, NY 10012"
Mysterious Worlds,06-29-1996,1996,09-14-1996,"626 Broadway, New York, NY 10012"
"Paper, Art & the Book",09-28-1996,1996,12-07-1996,"626 Broadway, New York, NY 10012"
The Menu,12-13-1996,1996,01-08-1996,"626 Broadway, New York, NY 10012"
Beautiful Beasts,06-28-1997,1997,09-06-1997,"626 Broadway, New York, NY 10012"
"Coptic and Collage: Ancient Technique, Modern Application",04-12-1997,1997,06-14-1997,"626 Broadway, New York, NY 10012"
Fall Forward,09-20-1997,1997,10-17-1997,"626 Broadway, New York, NY 10012"
Gary Frost: Explorer of Book Structure & Action,10-23-1997,1997,12-06-1997,"626 Broadway, New York, NY 10012"
Russell Maret & Kuboaa,12-18-1997,1997,01-11-1997,NA
The Progress of the Book: an exhibition of student and staff bookbindings from the London College of Printing and Distributive Trades,01-18-1997,1997,03-29-1997,"626 Broadway, New York, NY 10012"
Annual Artist Member Exhibition 1998,06-17-1998,1998,09-05-1998,"626 Broadway, New York, NY 10012"
Textiles/Fibers/Threads: The Book Show,09-12-1998,1998,11-14-1998,"626 Broadway, New York, NY 10012"
The Deconstruction of Biblio Borders,04-03-1998,1998,06-20-1998,"626 Broadway, New York, NY 10012"
Worthy Pioneers,01-23-1998,1998,03-28-1998,"626 Broadway, New York, NY 10012"
Bent,05-15-1999,1999,07-02-1999,"626 Broadway, New York, NY 10012"
"Back East, 2000",NA,NA,NA,NA
Making Memory Boxes,11-11-2000,2000,12-09-2000,NA
Student Work and Cultural Autobiography,09-01-2000,2000,10-31-2000,"28 W 27th St, New York, NY 10001"
A Show of Whimsy,04-16-2001,2001,05-15-2001,"28 W 27th St, New York, NY 10001"
A Tale of Two Cities,09-14-2001,2001,10-28-2001,"28 W 27th St, New York, NY 10001"
Engrain Designs and Repetitions,03-30-2001,2001,05-31-2001,"28 W 27th St, New York, NY 10001"
Juried Artist Member Show,07-01-2001,2001,07-23-2001,"28 W 27th St, New York, NY 10001"
Maremade: Seventeen Years of Artist’s Books from the MKimberly Press,06-27-2001,2001,09-10-2001,"28 W 27th St, New York, NY 10001"
Outwest II: SO CALled Books,11-02-2001,2001,12-22-2001,"28 W 27th St, New York, NY 10001"
2002 Artist Members' Juried Exhibition,06-14-2002,2002,08-17-2002,"28 W 27th St, New York, NY 10001"
Rare Books of the Future,01-25-2002,2002,04-02-2002,"28 W 27th St, New York, NY 10001"
Sock & Kiss: A Letterpress Portfolio,04-05-2002,2002,06-07-2002,"28 W 27th St, New York, NY 10001"
Writing to Be Seen,09-20-2002,2002,11-15-2002,"28 W 27th St, New York, NY 10001"
2003 Artist Members Show,06-19-2003,2003,08-06-2003,"28 W 27th St, New York, NY 10001"
2003 Instructors' Exhibition,09-02-2003,2003,09-23-2003,"28 W 27th St, New York, NY 10001"
Letterpress Showcase,04-04-2003,2003,06-14-2003,"28 W 27th St, New York, NY 10001"
Open for Action: Political Book Art,09-25-2003,2003,12-05-2003,"28 W 27th St, New York, NY 10001"
Washi in American Artist's Books,01-30-2003,2003,03-29-2003,"28 W 27th St, New York, NY 10001"
2004 Artist Member Juried Exhibition,06-17-2004,2004,08-20-2004,"28 W 27th St, New York, NY 10001"
Keith Smith -- Books Since 2000,04-08-2004,2004,06-12-2004,"28 W 27th St, New York, NY 10001"
Monthly Featured Artist: Karen Hanmer,05-01-2004,2004,05-31-2004,"28 W 27th St, New York, NY 10001"
The First One Who . . . !,01-29-2004,2004,04-05-2004,"28 W 27th St, New York, NY 10001"
"30 Years of Innovation: A Survey of Exhibition History at The Center for Book Arts, 1974-2004",04-15-2005,2005,07-01-2005,"28 W 27th St, New York, NY 10001"
Celebrating Artist Members: 30th Anniversary Members Exhibition,07-08-2005,2005,09-10-2005,"28 W 27th St, New York, NY 10001"
Music Stills,01-21-2005,2005,02-19-2005,"28 W 27th St, New York, NY 10001"
NYC/Paris DIALOGUE Paris/New York Printmaking Project,10-14-2005,2005,12-03-2005,"28 W 27th St, New York, NY 10001"
Views from Venice,01-21-2005,2005,04-02-2005,"28 W 27th St, New York, NY 10001"
Found in Translation,09-29-2006,2006,12-09-2006,"28 W 27th St, New York, NY 10001"
Mutilated/Cultivated Environments,06-29-2006,2006,09-16-2006,"28 W 27th St, New York, NY 10001"
My Mouth is Tired Now: Peter Stillman's Dialogue,09-29-2006,2006,12-09-2006,"28 W 27th St, New York, NY 10001"
No More Drama: The Saga Continues,04-21-2006,2006,06-24-2006,"28 W 27th St, New York, NY 10001"
The Only Book,01-20-2006,2006,04-01-2006,"28 W 27th St, New York, NY 10001"
(un)Contained Vessels,07-12-2007,2007,09-15-2007,"28 W 27th St, New York, NY 10001"
Black/White [and Read],04-13-2007,2007,06-30-2007,"28 W 27th St, New York, NY 10001"
Cynthia Thompson,07-12-2007,2007,09-15-2007,"28 W 27th St, New York, NY 10001"
Dafatir: Contemporary Iraqi Book Art,01-19-2007,2007,03-31-2007,"28 W 27th St, New York, NY 10001"
Lynne Avadenka,09-28-2007,2007,12-08-2007,"28 W 27th St, New York, NY 10001"
"Production, Not Reproduction: Offset Printed Artist Books",09-28-2007,2007,12-08-2007,"28 W 27th St, New York, NY 10001"
Red Herring,01-19-2007,2007,03-31-2007,"28 W 27th St, New York, NY 10001"
2007 Artists in Residence Workspace,04-11-2008,2008,06-28-2008,"28 W 27th St, New York, NY 10001"
Artist as Publisher,07-09-2008,2008,09-13-2008,"28 W 27th St, New York, NY 10001"
Barbara Barnes Allen,01-18-2008,2008,03-28-2008,"28 W 27th St, New York, NY 10001"
Fun & Games (And Such...),07-09-2008,2008,09-13-2008,"28 W 27th St, New York, NY 10001"
Illustrated Fine Printing: Whittington & Matrix in America,09-16-2008,2008,12-06-2008,"28 W 27th St, New York, NY 10001"
Karen Baldner: Witnesses,04-11-2008,2008,06-28-2008,"28 W 27th St, New York, NY 10001"
Mapping Correspondence: Mail Art in the 21st Century,04-11-2008,2008,06-28-2008,"28 W 27th St, New York, NY 10001"
Rocco Scary: The Last Place on Earth,09-26-2008,2008,12-06-2008,"28 W 27th St, New York, NY 10001"
Skipping the Page,01-18-2008,2008,03-29-2008,"28 W 27th St, New York, NY 10001"
The Bookworks of Julie Chen: 2008 Sally Bishop Faculty Fellow,09-26-2008,2008,12-08-2008,"28 W 27th St, New York, NY 10001"
2008 Artist-in-Residence Spotlight,04-15-2009,2009,06-27-2009,"28 W 27th St, New York, NY 10001"
A Chronicle of Lovers: Ellie Brown,09-23-2009,2009,12-05-2009,"28 W 27th St, New York, NY 10001"
A Poet Speaks: Zahra Partovi,01-15-2009,2009,03-28-2009,"28 W 27th St, New York, NY 10001"
Artists' Books as (Sub)culture,01-15-2009,2009,03-28-2009,"28 W 27th St, New York, NY 10001"
"flo: art, text, new media",04-15-2009,2009,06-27-2009,"28 W 27th St, New York, NY 10001"
Jacqueline Rush Lee: INTROspective,01-15-2009,2009,03-28-2009,"28 W 27th St, New York, NY 10001"
Racism: An American Family Value,07-08-2009,2009,09-12-2009,"28 W 27th St, New York, NY 10001"
There Goes My Hero,09-23-2009,2009,12-05-2009,"28 W 27th St, New York, NY 10001"
Threads: Interweaving Textu[r]al Meaning,07-08-2009,2009,09-12-2009,"28 W 27th St, New York, NY 10001"
Writing and/the Wor(l)d: Johanna Drucker The 2009 Bishop Faculty Fellow,09-23-2009,2009,12-05-2009,"28 W 27th St, New York, NY 10001"
Zitouna at 20: Roni Gross,04-15-2009,2009,06-27-2009,"28 W 27th St, New York, NY 10001"
2009 Artist-in-Residence Workspace Spotlight,04-14-2010,2010,06-26-2010,"28 W 27th St, New York, NY 10001"
Barbara Tetenbaum and the Triangular Press: Recent Works,09-22-2010,2010,12-04-2010,"28 W 27th St, New York, NY 10001"
Catya Plate: Clothespin Tarot,09-22-2010,2010,12-04-2010,"28 W 27th St, New York, NY 10001"
Ear to the Page,09-22-2010,2010,12-04-2010,"28 W 27th St, New York, NY 10001"
Everything in Time,01-19-2010,2010,04-02-2010,"28 W 27th St, New York, NY 10001"
"Garo Manga: The First Decade, 1964-1973",04-14-2010,2010,06-26-2010,"28 W 27th St, New York, NY 10001"
"I will cut thrU: Pochoirs, Carvings, and other Cuttings",07-07-2010,2010,09-11-2010,"28 W 27th St, New York, NY 10001"
Leah Oates: Transitory Space,01-21-2010,2010,04-03-2010,"28 W 27th St, New York, NY 10001"
Narrative Sequences,01-20-2010,2010,04-03-2010,"28 W 27th St, New York, NY 10001"
Notebook Project: Harvey Tulcensky,04-14-2010,2010,06-26-2010,"28 W 27th St, New York, NY 10001"
