Exhibition Title,Start Date,Start Year,End Date,Street Address
The Internal Machine,10-06-2017,2017,12-16-2017,"28 W 27th St, New York, NY 10001"
Workspace Artists-in-Residence,04-21-2017,2017,07-01-2017,"28 W 27th St, New York, NY 10001"
2017 Workspace Artist In Residence,04-20-2018,2018,06-30-2018,"28 W 27th St, New York, NY 10001"
Bethany Collins: Occasional Verse,04-20-2018,2018,06-30-2018,"28 W 27th St, New York, NY 10001"
Cultivating Book And Land,10-05-2018,2018,12-15-2018,"28 W 27th St, New York, NY 10001"
Emily McVarish: Last Year at Dark,01-19-2018,2018,03-31-2018,"28 W 27th St, New York, NY 10001"
Freud on the Couch: Psyche in the Book,04-20-2018,2018,06-30-2018,"28 W 27th St, New York, NY 10001"
"Inside/Out: self-published photobooks
Family, Memory, Loss, Displacement, Catastrophe",10-05-2018,2018,12-15-2018,"28 W 27th St, New York, NY 10001"
"Look, Look, Look…A Playful Book",07-11-2018,2018,09-22-2018,"28 W 27th St, New York, NY 10001"
Opulence: Not Everything That Glitters Is Gold,07-11-2018,2018,09-22-2018,"28 W 27th St, New York, NY 10001"
Our Anthropocene: Eco Crises,01-19-2018,2018,03-31-2018,"28 W 27th St, New York, NY 10001"
Scholarship For Advanced Studies In Book Arts,01-19-2018,2018,03-31-2018,"28 W 27th St, New York, NY 10001"
Clarissa Sligh: Witnessing Through Artist’s Books,10-03-2019,2019,12-14-2019,"28 W 27th St, New York, NY 10001"
Deposits: Inge Bruggeman,04-18-2019,2019,06-29-2019,"28 W 27th St, New York, NY 10001"
Dignidad: Maria Veronica San Martin,01-18-2019,2019,03-30-2019,"28 W 27th St, New York, NY 10001"
New Book Art Scholar Residents of 2018,01-18-2019,2019,03-30-2019,"28 W 27th St, New York, NY 10001"
New Book Art Workspace Residents of 2018,04-18-2019,2019,06-29-2019,"28 W 27th St, New York, NY 10001"
Poetry is Not a Luxury,07-19-2019,2019,09-20-2019,"28 W 27th St, New York, NY 10001"
Politics of Place,01-18-2019,2019,03-30-2019,"28 W 27th St, New York, NY 10001"
"Rising Together: An Exhibition of Artists’ Books, Prints and Zines with a Social Conscience",04-18-2019,2019,06-29-2019,"28 W 27th St, New York, NY 10001"
Sanctuary,07-19-2019,2019,09-21-2019,"28 W 27th St, New York, NY 10001"
The Reverse of Landscape: Catalina De La Cruz,07-19-2019,2019,09-21-2019,"28 W 27th St, New York, NY 10001"
The Traveling Artist: Journals by Lydia Rubio,10-03-2019,2019,12-14-2019,"28 W 27th St, New York, NY 10001"
Walt Whitman’s Words: Inspiring Artists Today,10-03-2019,2019,12-14-2019,"28 W 27th St, New York, NY 10001"
“I open my eyes and see myself under a tree laden with fruit that I cannot name.”,01-16-2020,2020,03-31-2020,"28 W 27th St, New York, NY 10001"
Americans Looking In,10-09-2020,2020,12-12-2020,"28 W 27th St, New York, NY 10001"
Construction Site: Viviane Rombaldi Seppey,10-09-2020,2020,12-12-2020,"28 W 27th St, New York, NY 10001"
Morcos Key Makes/Reads,10-09-2020,2020,12-12-2020,"28 W 27th St, New York, NY 10001"
Remembering Walter Hamady: Selections from The Perishable Press,01-16-2020,2020,03-31-2020,"28 W 27th St, New York, NY 10001"
The Private Life of Rag Dolls,01-16-2020,2020,03-31-2020,"28 W 27th St, New York, NY 10001"
"Warren Lehrer: Books, Animation, Performance, Collaboration",01-16-2020,2020,03-31-2020,"28 W 27th St, New York, NY 10001"
2020 Paris Photo—Aperture Foundation PhotoBook Awards,07-09-2021,2021,09-18-2021,"28 W 27th St, New York, NY 10001"
Borders Are Meant to Be Crossed,02-26-2021,2021,03-27-2021,"28 W 27th St, New York, NY 10001"
Con my abecedario a cuestas,07-16-2021,2021,08-20-2021,"28 W 27th St, New York, NY 10001"
Creative Publishings [Online exhibition],07-28-2021,2021,NA,Online
Encyclopedia of All Nations,05-28-2021,2021,06-26-2021,"28 W 27th St, New York, NY 10001"
How to Cook a Wolf,10-01-2021,2021,12-11-2021,"28 W 27th St, New York, NY 10001"
Imperfect Archiving/Archiving as Practice,07-09-2021,2021,09-18-2021,"28 W 27th St, New York, NY 10001"
Impracticum: Mining Books on Color,10-01-2021,2021,12-11-2021,"28 W 27th St, New York, NY 10001"
Interspecies Futures [IF],04-16-2021,2021,06-26-2021,"28 W 27th St, New York, NY 10001"
"Lights, Tunnels, Passages & Shadows",04-16-2021,2021,06-26-2021,"28 W 27th St, New York, NY 10001"
Math Without Tears,08-24-2021,2021,09-20-2021,"28 W 27th St, New York, NY 10001"
New Book Art: Work from the 2019 Artists in Residence,01-15-2021,2021,03-27-2021,"28 W 27th St, New York, NY 10001"
"Out of Sight, Beyond Touch
بیرون از دید، ورای لمس",01-15-2021,2021,03-27-2021,"28 W 27th St, New York, NY 10001"
Summer Reading,07-09-2021,2021,09-18-2021,"28 W 27th St, New York, NY 10001"
The Interpreted Object,04-16-2021,2021,05-15-2021,"28 W 27th St, New York, NY 10001"
Veiled Taxonomies,04-16-2021,2021,06-26-2021,"28 W 27th St, New York, NY 10001"
What the Butterfly Dragon Taught Me,10-01-2021,2021,12-11-2021,"28 W 27th St, New York, NY 10001"
"Abracadabra: Letterform, Technology",10-07-2022,2022,12-10-2022,"28 W 27th St, New York, NY 10001"
Beyond Codex: Living Archives,04-21-2022,2022,06-25-2022,"28 W 27th St, New York, NY 10001"
Books Revisited,10-07-2022,2022,12-10-2022,"28 W 27th St, New York, NY 10001"
"Candor Arts: July 10, 2015–August 31, 2021",04-21-2022,2022,06-25-2022,"28 W 27th St, New York, NY 10001"
Daily Ritual,01-14-2022,2022,03-26-2022,"28 W 27th St, New York, NY 10001"
Father Gave Water/Baabaa Aab Daad,01-14-2022,2022,03-26-2022,"28 W 27th St, New York, NY 10001"
Paths to the Shore,01-14-2022,2022,03-26-2022,"28 W 27th St, New York, NY 10001"
Performing Documents: Modes of Assembling,07-15-2022,2022,09-24-2022,"28 W 27th St, New York, NY 10001"
Resistant Systems Spring 2022,04-21-2022,2022,06-25-2022,"28 W 27th St, New York, NY 10001"
Tideline Press 1972-2022 and A Long Hill Homeward,10-07-2022,2022,12-10-2022,"28 W 27th St, New York, NY 10001"
Unfolding Forms; Multiple Approaches To The Book (I),07-07-2022,2022,08-21-2022,"319 Bedford Ave, Brooklyn, NY 11211"
Unfolding Forms; Multiple Approaches to the Book (II),07-15-2022,2022,09-24-2022,"28 W 27th St, New York, NY 10001"
Vera Icon // First You Have To Prove It To Me,04-21-2022,2022,06-25-2022,"28 W 27th St, New York, NY 10001"
Artists’ Books as Prompts for Discourse,10-06-2023,2023,12-16-2023,"28 W 27th St, New York, NY 10001"
Beau Geste Press,04-14-2023,2023,06-24-2023,"28 W 27th St, New York, NY 10001"
Craft & Conceptual Art: Reshaping the Legacy of Artists’ Books,01-13-2023,2023,03-25-2023,"28 W 27th St, New York, NY 10001"
I Couldn't Read What I Dreamt of,04-14-2023,2023,06-24-2023,"28 W 27th St, New York, NY 10001"
Kumi Korf: A World Of Her Own,07-14-2023,2023,09-09-2023,"28 W 27th St, New York, NY 10001"
"Off-Register: Publishing Experiments by Women Artists in Latin America, 1960-1990",10-06-2023,2023,12-16-2023,"28 W 27th St, New York, NY 10001"
Rituals Here,01-13-2023,2023,06-24-2023,"28 W 27th St, New York, NY 10001"
Scaffolding,01-13-2023,2023,03-25-2023,"28 W 27th St, New York, NY 10001"
Visual Volumes: Contemporary Explorations in Book Arts,07-14-2023,2023,09-09-2023,"28 W 27th St, New York, NY 10001"
Been Magic * Been Real,05-23-2024,2024,08-17-2024,"28 W 27th St, New York, NY 10001"
Exposition littéraire autour de Mallarmé,01-18-2024,2024,04-30-2024,"28 W 27th St, New York, NY 10001"
Hello Thank You Come In: 50th Anniversary Members Exhibition,01-18-2024,2024,04-30-2024,"28 W 27th St, New York, NY 10001"
Rules of the Game,05-04-2024,2024,06-22-2024,"28 W 27th St, New York, NY 10001"
The Greater Coming Together: an Introspective Exhibition of Work by Slavko Đurić,06-27-2024,2024,09-07-2024,"28 W 27th St, New York, NY 10001"
Vico’s Spiral: Half Century of Artists’ Books,09-26-2024,2024,12-14-2024,"28 W 27th St, New York, NY 10001"
Opening Exhibition,12-16-1974,1905,01-11-1974-1975,"15 Bleecker St, New York, NY 10012"
Apprentice and Student Work,NA,NA,NA,NA
"Barton Beneš ""Letters from My Aunt Evelyn""",NA,NA,NA,NA
The Traditional American Binding of Daniel Gibson Knowlton,NA,NA,NA,NA
Less is More,12-18-1982,1905,01-15-1982-1983,"144 W 14th St, New York, NY 10011"
Out West: The Artist's Book in California,11-21-1998,1905,05-01-1998-1999,"626 Broadway, New York, NY 10012"
